category,state,count
Print,successful,161
Printing,fail,189
Printing,successful,49
Product Design,fail,14352
Product Design,successful,7962
Public Art,fail,1534
Public Art,successful,1543
Publishing,fail,4378
Publishing,successful,1640
Punk,fail,171
Punk,successful,146
Puzzles,fail,143
Puzzles,successful,88
Quilts,fail,62
Quilts,successful,19
R&B,fail,351
R&B,successful,107
Radio & Podcasts,fail,529
Radio & Podcasts,successful,394
Ready-to-wear,fail,719
Ready-to-wear,successful,145
Residencies,fail,19
Residencies,successful,50
Restaurants,fail,2362
Restaurants,successful,457
Robots,fail,346
Robots,successful,226
Rock,fail,3258
Rock,successful,3500
Romance,fail,135
Romance,successful,55
Science Fiction,fail,472
Science Fiction,successful,272
Sculpture,fail,1112
Sculpture,successful,698
Shorts,fail,5684
Shorts,successful,6673
Small Batch,fail,1251
Small Batch,successful,557
Software,fail,2677
Software,successful,371
Sound,fail,395
Sound,successful,274
Space Exploration,fail,203
Space Exploration,successful,120
Spaces,fail,546
Spaces,successful,295
Stationery,fail,142
Stationery,successful,77
Tabletop Games,fail,6314
Tabletop Games,successful,7866
Taxidermy,fail,8
Taxidermy,successful,5
Technology,fail,5613
Technology,successful,1317
Television,fail,859
Television,successful,156
Textiles,fail,199
Textiles,successful,77
Theater,fail,2652
Theater,successful,4405
Thrillers,fail,546
Thrillers,successful,200
Translations,fail,118
Translations,successful,35
Typography,fail,45
Typography,successful,63
Vegan,fail,403
Vegan,successful,185
Video,fail,377
Video,successful,51
Video Art,fail,143
Video Art,successful,51
Video Games,fail,9444
Video Games,successful,2386
Wearables,fail,845
Wearables,successful,388
Weaving,fail,66
Weaving,successful,27
Web,fail,4710
Web,successful,443
Webcomics,fail,290
Webcomics,successful,358
Webseries,fail,4064
Webseries,successful,1698
Woodworking,fail,875
Woodworking,successful,292
Workshops,fail,114
Workshops,successful,50
World Music,fail,1180
World Music,successful,922
Young Adult,fail,649
Young Adult,successful,172
Zines,fail,212
Zines,successful,179
